"onset","cond","stim"
4149,"33_Decl_2Clobjloc_3Arg_4W_2EC","Il naît."
8981,"8_Unacc_ynQ_NP_2Arg_loc","Où fixe-on ça?"
13907,"10_Unacc_Qinv_NP_V_2Arg_loc","Il rugit?"
18123,"15_Trans_Decl_2Arg_obj","Enfle-t-il?"
22934,"24_transy_ynQ_3Arg_obj_loc","Il trône ici."
27423,"20_Trans_ynQ_Cl1_2Arg_obj","Linguistique"
31963,"36_Controls","Tu rejettes ça?"
35766,"6_Unerg_Qinv_V_1Arg","On glisse là?"
40988,"36_Controls","Où atterrit-on?"
45467,"28_transy_ynQ_Cl1obj_3Arg_obj_loc","Tu l'y appliques."
49694,"15_Trans_Decl_2Arg_obj","Appuyez!"
53599,"8_Unacc_ynQ_NP_2Arg_loc","Tu y entres."
58372,"2_Unacc_ynQ_NP_1Arg","Y règne-t-il?"
62742,"23_transy_Decl_3Arg_obj_loc","Où il somnole?"
67108,"28_transy_ynQ_Cl1obj_3Arg_obj_loc","Validez!"
72180,"1_Unacc_Decl_NP_1Arg","Connait-elle ça?"
76413,"21_Trans_Qinv_V_Cl1_2Arg_obj","Qui calme-t-il?"
80814,"2_Unacc_ynQ_NP_1Arg","Escarmouche"
85727,"24_transy_ynQ_3Arg_obj_loc","L'aimes-tu?"
90000,"30_transy_WhQ_Wh_3Arg_obj_loc","Qui on rejoint?"
94806,"1_Unacc_Decl_NP_1Arg","On intègre ça là."
99296,"38_target","Cafetière"
103963,"20_Trans_ynQ_Cl1_2Arg_obj","L'admet-on là?"
108118,"12_Unacc_ynQ_NP_Cl1_2Arg_loc","Où elle arrache ça?"
112521,"23_transy_Decl_3Arg_obj_loc","Cliquez!"
116951,"7_Unacc_Decl_NP_2Arg_loc","Qui tu lui refiles?"
121982,"7_Unacc_Decl_NP_2Arg_loc","Diapositive"
125740,"13_Unacc_Qinv_NP_V_Cl1_2Arg_loc","L'y pioches-tu?"
